Time_IV(s),Voltage(V),Current(A),Time_Optical(s),OpticalSignal
1.930000,0.046997,0.051849,,
1.940000,0.047302,0.052155,,
1.950000,0.047607,0.052490,,
1.960000,0.047913,0.052856,,
1.970000,0.048218,0.053192,,
1.980000,0.048523,0.053528,,
1.990000,0.048828,0.053864,,
2.000000,0.049133,0.054260,,
2.010000,0.049286,0.054352,,
2.020000,0.049591,0.054688,,
2.030000,0.049896,0.055023,,
2.040000,0.050201,0.055389,,
2.050000,0.050507,0.055695,,
2.060000,0.050812,0.056061,,
2.070000,0.051117,0.056396,,
2.080000,0.051422,0.056732,,
2.090000,0.051727,0.057007,,
2.100000,0.052032,0.057343,,
2.110000,0.052338,0.057709,,
2.120000,0.052643,0.058014,,
2.130000,0.052948,0.058380,,
2.140000,0.053253,0.058716,,
2.150000,0.053558,0.059021,,
2.160000,0.053864,0.059387,,
2.170000,0.054169,0.059723,,
2.180000,0.054474,0.060028,,
2.190000,0.054626,0.060394,,
2.200000,0.055084,0.060699,,
2.210000,0.055237,0.061035,,
2.220000,0.055695,0.061401,,
2.230000,0.056000,0.061737,,
2.240000,0.056305,0.062073,,
2.250000,0.056610,0.062439,,
2.260000,0.056763,0.062561,,
2.270000,0.057068,0.062927,,
2.280000,0.057373,0.063232,,
2.290000,0.057678,0.063568,,
2.300000,0.057983,0.063904,,
2.310000,0.058136,0.064240,,
2.320000,0.058441,0.064575,,
2.330000,0.058899,0.064911,,
2.340000,0.059052,0.065216,,
2.350000,0.059509,0.065552,,
2.360000,0.059662,0.065918,,
2.370000,0.059967,0.066254,,
2.380000,0.060272,0.066620,,
2.390000,0.060577,0.066895,,
2.400000,0.061035,0.067261,,
2.410000,0.061340,0.067596,,
2.420000,0.061493,0.067963,,
2.430000,0.061798,0.068298,,
2.440000,0.062103,0.068634,,
2.450000,0.062561,0.068970,,
2.460000,0.062714,0.069275,,
2.470000,0.063019,0.069611,,
2.480000,0.063324,0.069946,,
2.490000,0.063629,0.070251,,
2.500000,0.064087,0.070679,,
2.510000,0.064087,0.070770,,
2.520000,0.064392,0.071106,,
2.530000,0.064697,0.071442,,
2.540000,0.065002,0.071808,,
2.550000,0.065308,0.072113,,
2.560000,0.065613,0.072510,,
2.570000,0.065918,0.072815,,
2.580000,0.066223,0.073151,,
2.590000,0.066528,0.073486,,
2.600000,0.066833,0.073822,,
2.610000,0.067139,0.074158,,
2.620000,0.067444,0.074524,,
2.630000,0.067749,0.074799,,
2.640000,0.068054,0.075134,,
2.650000,0.068359,0.075500,,
2.660000,0.068665,0.075806,,
2.670000,0.068970,0.076202,,
2.680000,0.069275,0.076508,,
2.690000,0.069580,0.076843,,
2.700000,0.069885,0.077179,,
2.710000,0.070190,0.077515,,
2.720000,0.070648,0.077881,,
2.730000,0.070801,0.078156,,
2.740000,0.071106,0.078522,,
2.750000,0.071411,0.078857,,
2.760000,0.071564,0.079010,,
2.770000,0.071869,0.079346,,
2.780000,0.072174,0.079681,,
2.790000,0.072479,0.080017,,
2.800000,0.072784,0.080353,,
2.810000,0.073090,0.080688,,
2.820000,0.073395,0.081024,,
2.830000,0.073700,0.081360,,
2.840000,0.074005,0.081726,,
2.850000,0.074310,0.082031,,
2.860000,0.074615,0.082367,,
2.870000,0.074921,0.082703,,
2.880000,0.075226,0.082977,,
2.890000,0.075531,0.083374,,
2.900000,0.075836,0.083710,,
2.910000,0.076141,0.084045,,
2.920000,0.076447,0.084412,,
2.930000,0.076752,0.084717,,
2.940000,0.077057,0.085052,,
2.950000,0.077362,0.085388,,
2.960000,0.077667,0.085724,,
2.970000,0.077972,0.086029,,
2.980000,0.078278,0.086426,,
2.990000,0.078583,0.086700,,
3.000000,0.078888,0.087097,,
3.010000,0.079041,0.087219,,
3.020000,0.079346,0.087585,,
3.030000,0.079651,0.087921,,
3.040000,0.079956,0.088257,,
3.050000,0.080261,0.088593,,
3.060000,0.080566,0.088928,,
3.070000,0.080872,0.089264,,
3.080000,0.081177,0.089600,,
3.090000,0.081635,0.090088,,
3.100000,0.081940,0.090424,,
3.110000,0.082245,0.090759,,
3.120000,0.082550,0.091125,,
3.130000,0.082855,0.091431,,
3.140000,0.083160,0.091766,,
3.150000,0.083466,0.092133,,
3.160000,0.083771,0.092438,,
3.170000,0.084076,0.092743,,
3.180000,0.084381,0.093109,,
3.190000,0.084686,0.093445,,
3.200000,0.084991,0.093811,,
3.210000,0.085297,0.094116,,
3.220000,0.085602,0.094452,,
3.230000,0.085907,0.094788,,
3.240000,0.086212,0.095093,,
3.250000,0.086517,0.095490,,
3.260000,0.086670,0.095612,,
3.270000,0.086975,0.095978,,
3.280000,0.087280,0.096313,,
3.290000,0.087585,0.096619,,
3.300000,0.087891,0.096924,,
3.310000,0.088196,0.097321,,
3.320000,0.088501,0.097626,,
3.330000,0.088654,0.097961,,
3.340000,0.089111,0.098328,,
3.350000,0.089264,0.098602,,
3.360000,0.089722,0.099030,,
3.370000,0.089874,0.099304,,
3.380000,0.090332,0.099640,,
3.390000,0.090637,0.100006,,
3.400000,0.090942,0.100281,,
3.410000,0.091248,0.100647,,
3.420000,0.091553,0.100983,,
3.430000,0.091705,0.101318,,
3.440000,0.092163,0.101654,,
3.450000,0.092468,0.101990,,
3.460000,0.092621,0.102295,,
3.470000,0.092926,0.102631,,
3.480000,0.093384,0.102966,,
3.490000,0.093536,0.103333,,
3.500000,0.093994,0.103729,,
3.510000,0.094147,0.103851,,
3.520000,0.094452,0.104218,,
3.530000,0.094757,0.104523,,
3.540000,0.095062,0.104858,,
3.550000,0.095367,0.105194,,
3.560000,0.095673,0.105560,,
3.570000,0.095978,0.105896,,
3.580000,0.096130,0.106171,,
3.590000,0.096588,0.106537,,
3.600000,0.096893,0.106903,,
3.610000,0.097046,0.107178,,
3.620000,0.097504,0.107513,,
3.630000,0.097656,0.107819,,
3.640000,0.097961,0.108185,,
3.650000,0.098267,0.108521,,
3.660000,0.098572,0.108887,,
3.670000,0.099030,0.109192,,
3.680000,0.099335,0.109558,,
3.690000,0.099487,0.109863,,
3.700000,0.099792,0.110199,,
3.710000,0.100098,0.110535,,
3.720000,0.100403,0.110870,,
3.730000,0.100708,0.111206,,
3.740000,0.101013,0.111542,,
3.750000,0.101471,0.111908,,
3.760000,0.101471,0.112061,,
3.770000,0.101929,0.112396,,
3.780000,0.102081,0.112701,,
3.790000,0.102386,0.113068,,
3.800000,0.102692,0.113434,,
3.810000,0.102997,0.113739,,
3.820000,0.103302,0.114044,,
3.830000,0.103607,0.114410,,
3.840000,0.104065,0.114777,,
3.850000,0.104218,0.115082,,
3.860000,0.104523,0.115417,,
3.870000,0.104828,0.115784,,
3.880000,0.105133,0.116089,,
3.890000,0.105438,0.116425,,
3.900000,0.105743,0.116730,,
3.910000,0.106049,0.117126,,
3.920000,0.106354,0.117371,,
3.930000,0.106659,0.117737,,
3.940000,0.106964,0.118073,,
3.950000,0.107269,0.118408,,
3.960000,0.107574,0.118774,,
3.970000,0.107880,0.119110,,
3.980000,0.108185,0.119415,,
3.990000,0.108490,0.119781,,
4.000000,0.108795,0.120148,,
4.010000,0.108948,0.120270,,
4.020000,0.109253,0.120575,,
4.030000,0.109558,0.120941,,
4.040000,0.109863,0.121246,,
4.050000,0.110168,0.121613,,
4.060000,0.110474,0.121918,,
4.070000,0.110779,0.122314,,
4.080000,0.111084,0.122620,,
4.090000,0.111389,0.122925,,
4.100000,0.111694,0.123322,,
4.110000,0.112000,0.123657,,
4.120000,0.112305,0.123932,,
4.130000,0.112610,0.124298,,
4.140000,0.112915,0.124634,,
4.150000,0.113220,0.124939,,
4.160000,0.113525,0.125305,,
4.170000,0.113831,0.125641,,
4.180000,0.113983,0.125946,,
4.190000,0.114441,0.126282,,
4.200000,0.114594,0.126617,,
4.210000,0.114899,0.126953,,
4.220000,0.115356,0.127289,,
4.230000,0.115662,0.127655,,
4.240000,0.115967,0.127960,,
4.250000,0.116272,0.128326,,
4.260000,0.116425,0.128479,,
4.270000,0.116730,0.128815,,
4.280000,0.117035,0.129150,,
4.290000,0.117188,0.129456,,
4.300000,0.117645,0.129791,,
4.310000,0.117950,0.130127,,
4.320000,0.118103,0.130463,,
4.330000,0.118561,0.130798,,
4.340000,0.118866,0.131165,,
4.350000,0.119171,0.131470,,
4.360000,0.119324,0.131805,,
4.370000,0.119629,0.132111,,
4.380000,0.120087,0.132507,,
4.390000,0.120239,0.132813,,
4.400000,0.120697,0.133179,,
4.410000,0.120850,0.133453,,
4.420000,0.121307,0.133850,,
4.430000,0.121613,0.134186,,
4.440000,0.121918,0.134521,,
4.450000,0.122223,0.134827,,
4.460000,0.122528,0.135193,,
4.470000,0.122833,0.135498,,
4.480000,0.123138,0.135864,,
4.490000,0.123291,0.136169,,
4.500000,0.123749,0.136597,,
4.510000,0.123901,0.136749,,
4.520000,0.124054,0.136993,,
4.530000,0.124512,0.137360,,
4.540000,0.124817,0.137695,,
4.550000,0.124969,0.138031,,
4.560000,0.125275,0.138367,,
4.570000,0.125580,0.138672,,
4.580000,0.126038,0.139038,,
4.590000,0.126343,0.139343,,
4.600000,0.126495,0.139740,,
4.610000,0.126801,0.140076,,
4.620000,0.127106,0.140381,,
4.630000,0.127411,0.140717,,
4.640000,0.128021,0.141235,,
4.650000,0.128174,0.141541,,
4.660000,0.128479,0.141907,,
4.670000,0.128784,0.142212,,
4.680000,0.129089,0.142548,,
4.690000,0.129395,0.142883,,
4.700000,0.129700,0.143219,,
4.710000,0.130005,0.143555,,
4.720000,0.130463,0.143890,,
4.730000,0.130615,0.144226,,
4.740000,0.130920,0.144592,,
4.750000,0.131226,0.144958,,
4.760000,0.131378,0.145081,,
4.770000,0.131683,0.145386,,
4.780000,0.131989,0.145721,,
4.790000,0.132294,0.146088,,
4.800000,0.132599,0.146393,,
4.810000,0.132904,0.146759,,
4.820000,0.133209,0.147095,,
4.830000,0.133514,0.147430,,
4.840000,0.133820,0.147736,,
4.850000,0.134125,0.148102,,
4.860000,0.134430,0.148438,,
4.870000,0.134735,0.148743,,
4.880000,0.135040,0.149078,,
4.890000,0.135345,0.149445,,
4.900000,0.135651,0.149750,,
4.910000,0.135956,0.150116,,
4.920000,0.136261,0.150421,,
4.930000,0.136566,0.150757,,
4.940000,0.136871,0.151093,,
4.950000,0.137177,0.151398,,
4.960000,0.137482,0.151794,,
4.970000,0.137787,0.152069,,
4.980000,0.138092,0.152435,,
4.990000,0.138397,0.152740,,
5.000000,0.138702,0.153137,,
5.010000,0.138855,0.153290,,
5.020000,0.139160,0.153595,,
5.030000,0.139465,0.153961,,
5.040000,0.139771,0.154266,,
5.050000,0.140076,0.154602,,
5.060000,0.140381,0.154938,,
5.070000,0.140686,0.155304,,
5.080000,0.140839,0.155579,,
5.090000,0.141296,0.155945,,
5.100000,0.141602,0.156281,,
5.110000,0.141754,0.156586,,
5.120000,0.142212,0.156982,,
5.130000,0.142517,0.157349,,
5.140000,0.142822,0.157684,,
5.150000,0.143127,0.158020,,
5.160000,0.143433,0.158356,,
5.170000,0.143738,0.158630,,
5.180000,0.144043,0.158997,,
5.190000,0.144348,0.159302,,
5.200000,0.144653,0.159637,,
5.210000,0.144958,0.160004,,
5.220000,0.145264,0.160370,,
5.230000,0.145569,0.160675,,
5.240000,0.145874,0.161011,,
5.250000,0.146179,0.161407,,
5.260000,0.146332,0.161560,,
5.270000,0.146637,0.161865,,
5.280000,0.146790,0.162170,,
5.290000,0.147247,0.162537,,
5.300000,0.147552,0.162903,,
5.310000,0.147858,0.163208,,
5.320000,0.148010,0.163513,,
5.330000,0.148468,0.163910,,
5.340000,0.148773,0.164246,,
5.350000,0.149078,0.164520,,
5.360000,0.149384,0.164856,,
5.370000,0.149689,0.165253,,
5.380000,0.149994,0.165558,,
5.390000,0.150299,0.165863,,
5.400000,0.150604,0.166229,,
5.410000,0.150909,0.166565,,
5.420000,0.151215,0.166901,,
5.430000,0.151520,0.167236,,
5.440000,0.151672,0.167542,,
5.450000,0.151978,0.167847,,
5.460000,0.152435,0.168243,,
5.470000,0.152740,0.168579,,
5.480000,0.153046,0.168915,,
5.490000,0.153351,0.169250,,
5.500000,0.153656,0.169617,,
5.510000,0.153809,0.169769,,
5.520000,0.154114,0.170135,,
5.530000,0.154419,0.170410,,
5.540000,0.154724,0.170746,,
5.550000,0.155029,0.171082,,
5.560000,0.155334,0.171448,,
5.570000,0.155640,0.171753,,
5.580000,0.155945,0.172089,,
5.590000,0.156097,0.172424,,
5.600000,0.156555,0.172760,,
5.610000,0.156860,0.173126,,
5.620000,0.157166,0.173462,,
5.630000,0.157318,0.173737,,
5.640000,0.157776,0.174103,,
5.650000,0.158081,0.174408,,
5.660000,0.158386,0.174805,,
5.670000,0.158691,0.175110,,
5.680000,0.158997,0.175476,,
5.690000,0.159149,0.175751,,
5.700000,0.159454,0.176117,,
5.710000,0.159912,0.176453,,
5.720000,0.160065,0.176758,,
5.730000,0.160522,0.177124,,
5.740000,0.160675,0.177460,,
5.750000,0.160980,0.177826,,
5.760000,0.161285,0.177979,,
5.770000,0.161591,0.178253,,
5.780000,0.161743,0.178650,,
5.790000,0.162201,0.178986,,
5.800000,0.162354,0.179291,,
5.810000,0.162811,0.179626,,
5.820000,0.163116,0.179962,,
5.830000,0.163422,0.180328,,
5.840000,0.163574,0.180603,,
5.850000,0.163879,0.180939,,
5.860000,0.164185,0.181335,,
5.870000,0.164490,0.181671,,
5.880000,0.164795,0.182007,,
5.890000,0.165100,0.182312,,
5.900000,0.165558,0.182678,,
5.910000,0.165710,0.182983,,
5.920000,0.166016,0.183319,,
5.930000,0.166321,0.183624,,
5.940000,0.166626,0.183990,,
5.950000,0.166931,0.184326,,
5.960000,0.167236,0.184631,,
5.970000,0.167542,0.184998,,
5.980000,0.167847,0.185303,,
5.990000,0.168152,0.185638,,
6.000000,0.168610,0.186066,,
6.010000,0.168610,0.186127,,
6.020000,0.168915,0.186493,,
6.030000,0.169220,0.186859,,
6.040000,0.169525,0.187164,,
6.050000,0.169830,0.187500,,
6.060000,0.170135,0.187836,,
6.070000,0.170441,0.188202,,
6.080000,0.170746,0.188507,,
6.090000,0.171051,0.188843,,
6.100000,0.171356,0.189178,,
6.110000,0.171661,0.189545,,
6.120000,0.171967,0.189850,,
6.130000,0.172272,0.190186,,
6.140000,0.172577,0.190552,,
6.150000,0.172882,0.190857,,
6.160000,0.173187,0.191223,,
6.170000,0.173492,0.191528,,
6.180000,0.173950,0.192078,,
6.190000,0.174255,0.192352,,
6.200000,0.174561,0.192688,,
6.210000,0.174866,0.193054,,
6.220000,0.175171,0.193390,,
6.230000,0.175476,0.193726,,
6.240000,0.175781,0.194061,,
6.250000,0.176086,0.194397,,
6.260000,0.176392,0.194580,,
6.270000,0.176697,0.194916,,
6.280000,0.176849,0.195282,,
6.290000,0.177155,0.195587,,
6.300000,0.177460,0.195923,,
6.310000,0.177765,0.196228,,
6.320000,0.178070,0.196594,,
6.330000,0.178375,0.196899,,
6.340000,0.178680,0.197235,,
6.350000,0.178986,0.197601,,
6.360000,0.179291,0.197937,,
6.370000,0.179596,0.198303,,
6.380000,0.179901,0.198578,,
6.390000,0.180206,0.198944,,
6.400000,0.180511,0.199310,,
6.410000,0.180817,0.199615,,
6.420000,0.181122,0.199921,,
6.430000,0.181427,0.200256,,
6.440000,0.181732,0.200592,,
6.450000,0.182037,0.200958,,
6.460000,0.182343,0.201263,,
6.470000,0.182648,0.201599,,
6.480000,0.182953,0.201996,,
6.490000,0.183258,0.202271,,
6.500000,0.183563,0.202698,,
6.510000,0.183716,0.202789,,
6.520000,0.184021,0.203094,,
6.530000,0.184326,0.203430,,
6.540000,0.184479,0.203735,,
6.550000,0.184784,0.204132,,
6.560000,0.185242,0.204468,,
6.570000,0.185547,0.204803,,
6.580000,0.185852,0.205139,,
6.590000,0.186005,0.205475,,
6.600000,0.186462,0.205811,,
6.610000,0.186768,0.206177,,
6.620000,0.187073,0.206451,,
6.630000,0.187378,0.206848,,
6.640000,0.187683,0.207123,,
6.650000,0.187988,0.207458,,
6.660000,0.188293,0.207825,,
6.670000,0.188599,0.208160,,
6.680000,0.188904,0.208496,,
6.690000,0.189209,0.208801,,
6.700000,0.189514,0.209167,,
6.710000,0.189819,0.209534,,
6.720000,0.190125,0.209869,,
6.730000,0.190430,0.210205,,
6.740000,0.190735,0.210510,,
6.750000,0.191040,0.210907,,
6.760000,0.191193,0.210999,,
6.770000,0.191498,0.211365,,
6.780000,0.191650,0.211700,,
6.790000,0.191956,0.212006,,
6.800000,0.192413,0.212372,,
6.810000,0.192719,0.212677,,
6.820000,0.192871,0.213013,,
6.830000,0.193329,0.213379,,
6.840000,0.193634,0.213684,,
6.850000,0.193787,0.213959,,
6.860000,0.194092,0.214325,,
6.870000,0.194550,0.214661,,
6.880000,0.194855,0.214996,,
6.890000,0.195160,0.215332,,
6.900000,0.195313,0.215698,,
6.910000,0.195770,0.216064,,
6.920000,0.196075,0.216370,,
6.930000,0.196228,0.216705,,
6.940000,0.196686,0.217072,,
6.950000,0.196838,0.217346,,
6.960000,0.197296,0.217743,,
6.970000,0.197449,0.218018,,
6.980000,0.197754,0.218384,,
6.990000,0.198059,0.218719,,
7.000000,0.198517,0.219086,,
7.010000,0.198517,0.219208,,
7.020000,0.198975,0.219574,,
7.030000,0.199127,0.219879,,
7.040000,0.199585,0.220245,,
7.050000,0.199738,0.220551,,
7.060000,0.200043,0.220886,,
7.070000,0.200500,0.221222,,
7.080000,0.200806,0.221558,,
7.090000,0.201111,0.221893,,
7.100000,0.201416,0.222229,,
7.110000,0.201721,0.222595,,
7.120000,0.202179,0.222900,,
7.130000,0.202484,0.223267,,
7.140000,0.202789,0.223572,,
7.150000,0.203094,0.223938,,
7.160000,0.203400,0.224243,,
7.170000,0.203705,0.224609,,
7.180000,0.204010,0.224915,,
7.190000,0.204315,0.225250,,
7.200000,0.204620,0.225586,,
7.210000,0.204926,0.225891,,
7.220000,0.205231,0.226227,,
7.230000,0.205383,0.226593,,
7.240000,0.205688,0.226898,,
7.250000,0.206146,0.227264,,
7.260000,0.206299,0.227417,,
7.270000,0.206604,0.227753,,
7.280000,0.206909,0.228088,,
7.290000,0.207214,0.228394,,
7.300000,0.207367,0.228729,,
7.310000,0.207825,0.229095,,
7.320000,0.208130,0.229462,,
7.330000,0.208435,0.229767,,
7.340000,0.208740,0.230133,,
7.350000,0.209045,0.230469,,
7.360000,0.209351,0.230804,,
7.370000,0.209656,0.231110,,
7.380000,0.209961,0.231476,,
7.390000,0.210266,0.231750,,
7.400000,0.210571,0.232147,,
7.410000,0.210876,0.232483,,
7.420000,0.211182,0.232788,,
7.430000,0.211334,0.233124,,
7.440000,0.211639,0.233459,,
7.450000,0.211945,0.233795,,
7.460000,0.212402,0.234131,,
7.470000,0.212708,0.234467,,
7.480000,0.213013,0.234833,,
7.490000,0.213318,0.235168,,
7.500000,0.213623,0.235535,,
7.510000,0.213623,0.235657,,
7.520000,0.213928,0.235962,,
7.530000,0.214386,0.236328,,
7.540000,0.214691,0.236664,,
7.550000,0.214844,0.236969,,
7.560000,0.215302,0.237335,,
7.570000,0.215607,0.237671,,
7.580000,0.215912,0.238007,,
7.590000,0.216064,0.238281,,
7.600000,0.216522,0.238678,,
7.610000,0.216675,0.239014,,
7.620000,0.216980,0.239380,,
7.630000,0.217438,0.239716,,
7.640000,0.217743,0.240021,,
7.650000,0.218048,0.240387,,
7.660000,0.218201,0.240692,,
7.670000,0.218506,0.240997,,
7.680000,0.218964,0.241364,,
7.690000,0.219116,0.241699,,
7.700000,0.219574,0.242004,,
7.710000,0.219727,0.242340,,
7.720000,0.220184,0.242859,,
7.730000,0.220642,0.243225,,
7.740000,0.220947,0.243530,,
7.750000,0.221252,0.243896,,
7.760000,0.221252,0.244019,,
7.770000,0.221558,0.244354,,
7.780000,0.221863,0.244720,,
7.790000,0.222168,0.245026,,
7.800000,0.222473,0.245392,,
7.810000,0.222778,0.245697,,
7.820000,0.223083,0.246033,,
7.830000,0.223389,0.246368,,
7.840000,0.223694,0.246735,,
7.850000,0.223999,0.247040,,
7.860000,0.224304,0.247406,,
7.870000,0.224609,0.247742,,
7.880000,0.224915,0.248016,,
7.890000,0.225220,0.248413,,
7.900000,0.225525,0.248718,,
7.910000,0.225830,0.249054,,
7.920000,0.226135,0.249390,,
7.930000,0.226440,0.249756,,
7.940000,0.226746,0.250092,,
7.950000,0.227051,0.250488,,
7.960000,0.227356,0.250763,,
7.970000,0.227814,0.251129,,
7.980000,0.228119,0.251465,,
7.990000,0.228271,0.251740,,
8.000000,0.228729,0.252167,,
8.010000,0.228729,0.252289,,
8.020000,0.229034,0.252563,,
8.030000,0.229340,0.252930,,
8.040000,0.229645,0.253265,,
8.050000,0.229950,0.253601,,
8.060000,0.230255,0.253937,,
8.070000,0.230560,0.254272,,
8.080000,0.230865,0.254608,,
8.090000,0.231171,0.254944,,
8.100000,0.231476,0.255249,,
8.110000,0.231781,0.255615,,
8.120000,0.232086,0.255951,,
8.130000,0.232391,0.256287,,
